country_code,year,ucdp_events
UGA,1995,27
UGA,1996,140
UGA,1997,90
UGA,1998,133
UGA,1999,91
UGA,2000,126
UGA,2001,66
UGA,2002,185
UGA,2003,195
UGA,2004,286
UGA,2005,241
UGA,2006,111
UGA,2007,37
UGA,2008,68
UGA,2009,220
UGA,2010,89
UGA,2011,109
UGA,2012,36
UGA,2013,38
UGA,2014,75
UGA,2015,42
UGA,2016,27
UGA,2017,29
UGA,2018,63
UGA,2019,54
UK,1989,29
UK,1990,34
UK,1991,32
UK,1992,30
UK,1993,34
UK,1994,16
UK,1996,2
UK,1997,4
UK,1998,3
UK,2000,1
UK,2001,1
UK,2002,4
UK,2003,2
UK,2004,1
UK,2005,1
UK,2006,1
UK,2009,2
UK,2011,1
UK,2019,1
UKR,2014,272
UKR,2015,260
UKR,2016,125
UKR,2017,186
UKR,2018,153
UKR,2019,172
USA,2001,41
USA,2002,59
USA,2003,12
USA,2004,88
USA,2005,47
USA,2006,29
USA,2007,26
USA,2008,41
USA,2009,37
USA,2010,102
USA,2011,28
USA,2012,46
USA,2014,5
USA,2016,9
USA,2017,18
USA,2018,7
USA,2019,8
UZB,1999,10
UZB,2000,32
UZB,2004,8
UZB,2006,4
UZB,2009,2
VEN,1989,28
VEN,1990,66
VEN,1991,38
VEN,1992,75
VEN,1993,75
VEN,1994,47
VEN,1995,45
VEN,1996,53
VEN,1997,5
VEN,1998,14
VEN,1999,41
VEN,2000,38
VEN,2001,50
VEN,2002,28
VEN,2003,40
VEN,2004,50
VEN,2005,32
